,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year,pred_lr,pred_dt
5298,1353,1117726,10065419,felony,other,2013-10-24,519,7288288,50.95616438356164,M,Black,2016-03-31,1,0.0,0,0,0
1992,409,65964,9877461,felony,violent,2013-12-19,229,6725060,24.34794520547945,M,Black,2016-08-20,1,0.0,1,0,0
918,6409,27558,7958600,misdemeanor,other,2015-09-14,54,4448872,37.512328767123286,M,Black,2018-01-25,0,0.0,1,0,0
3434,5824,230959,9368979,misdemeanor,other,2014-06-06,875,3128626,28.09041095890411,M,mixed,2018-08-25,0,0.0,0,0,0
4335,5736,780358,2492368,misdemeanor,other,2018-12-26,660,4692540,32.16712328767123,M,White,2017-12-05,0,0.0,0,0,0
151,2305,6614,8204319,misdemeanor,property,2015-07-01,107,5913001,25.3972602739726,M,White,2017-04-09,0,0.0,1,0,0
4862,1230,1005742,5902358,misdemeanor,violent,2017-04-11,134,5902358,24.58904109589041,M,Black,2017-04-11,0,0.0,0,0,0
6176,3237,2455042,5564167,misdemeanor,property,2017-07-03,932,5469978,51.64657534246575,M,Black,2017-07-24,0,0.0,0,0,0
3203,6482,115414,2907915,misdemeanor,other,2018-10-05,557,2907915,26.78356164383561,M,,2018-10-05,0,0.0,0,0,0
6426,5432,3216126,4188593,misdemeanor,other,2018-03-13,71,5728325,46.04109589041096,M,White,2017-05-26,0,0.0,0,0,0
5958,5752,1610763,58056,misdemeanor,property,2020-04-01,840,5330582,36.07945205479452,M,Black,2017-08-19,0,0.0,0,0,0
3697,654,323098,6083154,felony,property,2017-02-22,127,5801992,31.42465753424657,M,Black,2017-05-07,0,0.0,0,0,0
2251,2142,72764,6015447,misdemeanor,property,2017-03-13,885,6163577,22.72054794520548,F,Black,2017-02-03,0,0.0,3,0,0
5569,2845,1300240,6983081,misdemeanor,drug,2016-06-05,879,7200598,26.747945205479454,M,Black,2016-04-23,0,0.0,0,0,0
655,2413,24750,11007531,misdemeanor,drug,2012-11-26,313,2586870,35.0958904109589,M,White,2018-12-06,0,0.0,0,0,0
