,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
224,783,9044,6544629,felony,violent,2016-10-12,715,3076203,21.186301369863013,M,Black,2018-09-04,1,0.0,0
3773,4639,336042,5064865,misdemeanor,other,2017-10-04,610,5170311,55.30684931506849,M,White,2017-09-15,0,0.0,0
317,975,12751,4864261,misdemeanor,violent,2017-11-06,73,4435364,26.40821917808219,M,Black,2018-01-27,0,0.0,2
4620,1809,929734,7419665,misdemeanor,property,2016-02-24,297,2971473,40.465753424657535,M,White,2018-09-24,0,0.0,0
5386,5226,1130673,6168567,misdemeanor,other,2017-02-02,599,7005244,25.65205479452055,M,Black,2016-05-28,0,0.0,1
766,3473,26258,6387100,misdemeanor,property,2016-11-26,412,4367944,22.02739726027397,M,Black,2018-02-08,0,0.0,1
5586,4058,1301547,6673313,misdemeanor,drug,2016-09-03,976,6673313,29.42465753424657,M,mixed,2016-09-03,0,0.0,0
2593,4821,81169,96926,misdemeanor,drug,2020-03-12,268,6058682,18.97808219178082,M,Black,2017-03-01,0,0.0,0
4749,4922,974497,4078592,felony,violent,2018-04-01,472,4078592,26.5013698630137,M,Black,2018-04-01,0,1.0,0
5692,3984,1337598,7012299,misdemeanor,property,2016-05-26,306,7012299,19.339726027397266,M,Black,2016-05-26,0,0.0,0
2757,5402,84027,8005918,misdemeanor,other,2015-08-31,607,2680535,39.26849315068493,M,Black,2018-11-18,0,0.0,1
4434,3078,883909,6479506,misdemeanor,drug,2016-11-01,895,5296171,31.32602739726028,F,White,2017-08-25,0,0.0,1
3101,3573,98350,10530684,misdemeanor,violent,2013-05-16,183,4251991,53.772602739726025,M,Black,2018-03-02,0,0.0,1
687,2463,25110,10216643,misdemeanor,property,2013-08-30,449,3787339,22.95616438356164,M,Black,2018-05-10,0,0.0,2
2824,1264,85529,2794784,felony,drug,2018-10-26,734,6161824,19.575342465753423,M,Black,2017-02-04,0,0.0,2
3549,3780,260781,4001852,misdemeanor,property,2018-04-04,589,3059137,19.3972602739726,M,Black,2018-09-07,0,0.0,0
1043,5372,31518,6313374,felony,other,2016-12-21,784,6313374,22.353424657534248,M,White,2016-12-21,1,0.0,3
2360,3157,75450,10497247,felony,property,2013-05-28,81,7462166,53.10410958904109,M,White,2016-02-16,0,0.0,0
5552,2690,1295291,3848994,misdemeanor,drug,2018-04-30,347,7149171,37.394520547945206,M,White,2016-05-09,0,0.0,1
4921,656,1023093,5087906,misdemeanor,property,2017-09-30,64,3493710,18.852054794520548,M,Black,2018-07-04,0,0.0,0
5711,4028,1352734,5598626,misdemeanor,other,2017-06-23,265,5598626,28.86575342465753,M,White,2017-06-23,0,0.0,0
1254,5102,43195,4559503,misdemeanor,drug,2018-01-03,23,2766114,20.693150684931503,M,Black,2018-11-01,0,0.0,1
6399,4358,3185585,4934958,misdemeanor,other,2017-10-28,579,6326198,50.45205479452055,M,Black,2016-12-17,0,0.0,0
2804,1786,85246,2766079,misdemeanor,property,2018-11-01,51,6243514,19.75068493150685,M,Black,2017-01-12,0,0.0,4
6086,1762,1992727,8921890,felony,property,2014-11-03,328,6182084,27.421917808219177,F,Other,2017-01-30,0,0.0,0
